trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1612,False,"{'a': 0.002, 'e': 0.039875228001002336}",30,20,17.200435335487896,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1613,False,"{'a': 0.002, 'e': 0.039795557242315927}",25,14,24.614632704244727,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1614,False,"{'a': 0.002, 'e': 0.03971604566591157}",25,13,26.227765004277213,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1615,False,"{'a': 0.002, 'e': 0.0396366929537428}",30,20,19.20325212567586,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1616,False,"{'a': 0.002, 'e': 0.039557498788398725}",25,15,15.170872141065193,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1617,False,"{'a': 0.002, 'e': 0.039478462853102525}",20,9,14.19219902070123,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1618,False,"{'a': 0.002, 'e': 0.03939958483171039}",30,7,40.37328091630079,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
1619,False,"{'a': 0.002, 'e': 0.039320864408710104}",20,8,24.69458513184554,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1620,False,"{'a': 0.002, 'e': 0.03924230126921989}",20,4,-14.233928912112535,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
1621,False,"{'a': 0.002, 'e': 0.039163895098987066}",20,2,15.631327180163055,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
1622,False,"{'a': 0.002, 'e': 0.03908564558438687}",25,15,8.525013295113709,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
1623,False,"{'a': 0.002, 'e': 0.03900755241242111}",25,15,-1.1166791576937771,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
1624,False,"{'a': 0.002, 'e': 0.038929615270717026}",25,15,19.502365149336423,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1625,False,"{'a': 0.002, 'e': 0.03885183384752591}",25,12,25.129443078560367,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1626,False,"{'a': 0.002, 'e': 0.03877420783172201}",35,15,39.0409426734446,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1627,False,"{'a': 0.002, 'e': 0.038696736912801115}",20,15,7.558181225039225,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1628,False,"{'a': 0.002, 'e': 0.03861942078087949}",20,7,22.900693072221724,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1629,False,"{'a': 0.002, 'e': 0.03854225912669246}",25,12,10.498718605544255,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
1630,False,"{'a': 0.002, 'e': 0.03846525164159334}",30,13,32.2487554280895,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1631,False,"{'a': 0.002, 'e': 0.038388398017552054}",20,14,15.37772267346239,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1632,False,"{'a': 0.002, 'e': 0.03831169794715405}",30,18,24.06771107197025,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1633,False,"{'a': 0.002, 'e': 0.03823515112359889}",20,13,15.223844276425016,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
